Dry_Season_2017,Dry_Season_2018,Dry_Season_2019,Dry_Season_2020,Dry_Season_2021
-1.813999891,-0.504,-0.363,-0.444,-2.445
-0.852000058,-0.504,-1.191,-0.449,-2.447
-1.383000016,-0.267,-0.191,-0.022,-2.091
-0.609000027,0.31,-0.728,0.454,-1.614
-0.238000005,0.159,-0.301,0.302,-1.604
-0.174999997,0.603,-0.523,0.678,-1.435
-0.417999983,0.245,-0.71,0.647,-1.22
0.726000011,0.314,-0.82,0.367,-3.013
0.951000035,0.343,-0.811,1.003,-1.878
1.664999962,0.099,-0.805,0.962,-1.427
1.544999957,-0.277,-0.889,1.843,-1.629
0.478000015,0.286,-0.957,1.124,-1.351
0.621999979,0.78,-1.043,1.098,-1.271
1.299000025,0.32,-1.197,0.832,-1.13
1.612999916,-1.217,-1.208,0.139,-2.361
1.411999941,-0.62,-1.409,0.553,-2.919
-2.717000008,-0.851,-1.486,2.127,-2.204
-2.78399992,-2.825,-1.615,-1.774,-5.524
-3.029000044,-2.557,-1.782,-0.867,-5.456
-2.937000036,-2.346,-1.784,-1.421,-5.477
-2.401000023,-2.021,-1.853,-1.021,-5.371
-2.029999971,-1.899,-1.8,-0.923,-4.751
-2.476999998,-1.952,-1.797,-0.997,-4.544
-3.013999939,-1.952,-1.701,-1.392,-4.648
-2.714999914,-1.926,-1.305,-1.926,-4.505
-2.523999929,-1.628,-0.301,-1.608,-4.489
-2.870999813,-1.623,0.49,-1.746,-4.241
-2.49000001,-1.85,-0.234,-1.938,-4.377
-2.799999952,-1.505,-0.275,-1.648,-4.39
-2.246999979,-1.296,-0.482,-1.64,-3.862
-2.59800005,-1.428,-0.441,-1.48,-3.766
-2.679999828,-1.597,-0.394,-1.147,-3.861
-1.932999969,-1.158,-0.37,-0.889,-3.54
-2.355000019,-1.036,-0.505,-0.318,-3.064
-2.936000109,-0.775,-0.915,-0.521,-2.593
-2.940000057,-0.477,-0.816,0.115,-2.663
-2.312000036,-0.477,-0.409,0.11,-2.665
-1.720000029,0.063,-0.765,-0.155,-2.244
-0.796000004,0.041,-0.571,0.186,-1.96
-0.578999996,0.295,-0.642,0.505,-2.003
-0.313000023,0.3,-0.52,0.58,-1.48
-0.886999965,0.7,-0.643,0.371,-1.239
0.338,-0.201,-0.879,0.284,-2.325
1.241999984,-0.229,-0.798,0.16,-2.618
2.052999973,0.158,-1.081,1.447,-1.489
1.514000058,-0.076,-0.818,1.302,-1.006
0.910000026,-0.474,-0.725,1.142,-1.335
1.531000018,0.878,-0.766,1.547,-0.99
1.468000054,0.643,-0.979,0.508,-0.86
0.818999946,-0.266,-0.968,0.919,-2.006
1.184000015,0.052,-1.031,0.397,-1.989
